meta_utilizacao,linacs_a_instalar,deficit_fisico_medico,deficit_radio_oncologista,deficit_tecnico_rtt,profissionais_total,investimento_reais,ufs_beneficiadas
1.0,86.0,86.0,162.0,258.0,506.0,860000000.0,19.0
0.8,183.0,183.0,338.0,549.0,1070.0,1830000000.0,24.0
