uf,casos_0_30,casos_31_60,casos_mais_60,casos_sem_info
AC,19,24,142,0
AP,0,0,0,0
AM,33,66,719,0
PA,37,59,494,0
RO,95,109,386,0
RR,0,0,0,0
TO,40,65,334,0
AL,74,89,594,0
BA,171,455,2717,0
CE,153,330,1989,0
MA,124,251,943,0
PB,40,71,863,0
PE,130,249,1482,0
PI,73,138,448,0
RN,96,214,709,0
SE,42,77,321,0
DF,52,61,294,0
GO,47,108,988,0
MT,56,82,363,0
MS,22,28,465,0
ES,105,177,967,0
MG,676,1040,4959,0
RJ,247,350,3577,0
SP,1137,1272,8830,0
PR,767,1137,2824,0
RS,614,940,3237,0
SC,309,390,1823,0
