uf,casos_0_30,casos_31_60,casos_mais_60,casos_sem_info
AC,4,8,84,0
AP,0,0,0,0
AM,38,101,608,0
PA,23,41,770,0
RO,138,117,342,0
RR,0,0,0,0
TO,34,44,295,0
AL,65,105,562,0
BA,199,435,2643,0
CE,251,541,1686,0
MA,71,89,693,0
PB,42,87,919,0
PE,176,327,1686,0
PI,75,166,422,0
RN,102,222,787,0
SE,41,79,261,0
DF,71,116,405,0
GO,109,202,927,0
MT,29,45,315,0
MS,19,39,340,0
ES,139,254,819,0
MG,637,1218,4847,0
RJ,351,450,3062,0
SP,1126,1381,8176,0
PR,767,902,2564,0
RS,637,890,2806,0
SC,234,367,1747,0
