uf,casos_0_30,casos_31_60,casos_mais_60,casos_sem_info
AC,11,11,112,0
AP,0,0,0,0
AM,33,77,698,0
PA,17,31,654,0
RO,153,118,317,0
RR,0,0,0,0
TO,47,65,302,0
AL,57,107,603,0
BA,164,457,2763,0
CE,210,483,1953,0
MA,96,171,699,0
PB,39,75,931,0
PE,133,293,1628,0
PI,53,135,423,0
RN,114,216,767,0
SE,39,86,284,0
DF,35,79,353,0
GO,81,129,1095,0
MT,34,57,342,0
MS,10,23,373,0
ES,92,184,954,0
MG,637,1038,5048,0
RJ,227,346,3199,0
SP,1182,1257,8859,0
PR,722,1010,2925,0
RS,616,864,3190,0
SC,326,386,1779,0
