uf,casos_0_30,casos_31_60,casos_mais_60,casos_sem_info
AC,0,0,13,0
AP,0,0,0,0
AM,25,109,595,0
PA,17,46,608,0
RO,112,97,303,0
RR,0,0,0,0
TO,58,61,238,0
AL,78,101,487,0
BA,232,471,2285,0
CE,483,619,1601,0
MA,86,84,666,0
PB,35,69,831,0
PE,103,255,1318,0
PI,29,103,430,0
RN,111,161,677,0
SE,13,44,246,0
DF,44,61,367,0
GO,113,199,872,0
MT,22,44,266,0
MS,17,45,303,0
ES,120,222,737,0
MG,753,1235,4352,0
RJ,347,295,2601,0
SP,1051,1399,8030,0
PR,781,881,2153,0
RS,565,780,2742,0
SC,225,296,1694,0
