uf,casos_0_30,casos_31_60,casos_mais_60,casos_sem_info
AC,0,0,14,0
AP,0,0,0,0
AM,33,95,687,0
PA,35,55,581,0
RO,86,76,358,0
RR,0,0,0,0
TO,32,49,213,0
AL,52,82,451,0
BA,256,413,2660,0
CE,512,648,1925,0
MA,67,90,826,0
PB,55,92,892,0
PE,102,218,1337,0
PI,27,39,478,0
RN,204,242,658,0
SE,0,0,100,0
DF,49,67,282,0
GO,142,206,999,0
MT,23,41,251,0
MS,4,20,376,0
ES,77,111,937,0
MG,641,1076,5055,0
RJ,373,300,2953,0
SP,987,1206,8885,0
PR,566,740,2669,0
RS,579,818,3059,0
SC,179,269,1839,0
