uf,linacs_sus,fonte
AC,,RT2030
AP,,RT2030
AM,,RT2030
PA,,RT2030
RO,,RT2030
RR,,RT2030
TO,,RT2030
AL,,RT2030
BA,,RT2030
CE,,RT2030
MA,,RT2030
PB,,RT2030
PE,,RT2030
PI,,RT2030
RN,,RT2030
SE,,RT2030
DF,,RT2030
GO,,RT2030
MT,,RT2030
MS,,RT2030
ES,,RT2030
MG,,RT2030
RJ,,RT2030
SP,,RT2030
PR,,RT2030
RS,,RT2030
SC,,RT2030
