uf,incidencia_total,incidencia_sem_pnm
AC,,
AP,,
AM,,
PA,,
RO,,
RR,,
TO,,
AL,,
BA,,
CE,,
MA,,
PB,,
PE,,
PI,,
RN,,
SE,,
DF,,
GO,,
MT,,
MS,,
ES,,
MG,,
RJ,,
SP,,
PR,,
RS,,
SC,,
